data_size,benign_budget,pipeline,transparency_tag,auc,balanced_accuracy,recall,specificity,precision,f1,threshold,tn,fp,fn,tp
benign_40000,40000,multitask_cnn,image_only_baseline,0.8624230888406887,0.7557170013623911,0.6551724137931034,0.8562615889316788,0.004691358024691358,0.009316008825692572,0.009915575385093689,24013,4031,10,19
benign_40000,40000,hard_cbm,interpretable_partial,0.858604581962335,0.7354280711591146,0.6896551724137931,0.7812009699044359,0.003248862897985705,0.0064672594987873885,0.304024875164032,21908,6136,9,20
benign_40000,40000,glassbox_nam,interpretable_partial,0.8923661831899626,0.7966354595487879,0.6896551724137931,0.9036157466837826,0.007344840249724568,0.014534883720930232,0.10875138640403748,25341,2703,9,20
benign_40000,40000,transparent_lr,fully_auditable,0.722854233986986,0.6521076485719485,0.41379310344827586,0.8904221936956211,0.0038897893030794164,0.007707129094412331,0.5901743954875407,24971,3073,17,12
benign_40000,40000,transparent_tree,fully_auditable,0.7302410251870213,0.6619665402643138,0.3793103448275862,0.9446227357010413,0.007033248081841432,0.013810420590081607,0.8406186953597877,26491,1553,18,11
benign_80000,80000,multitask_cnn,image_only_baseline,0.9054355470959428,0.7863830974970367,0.6551724137931034,0.9175937812009699,0.00815450643776824,0.016108520559559136,0.01612251251935959,25733,2311,10,19
benign_80000,80000,hard_cbm,interpretable_partial,0.8544190410143666,0.7633644666755197,0.5862068965517241,0.9405220367993153,0.010089020771513354,0.019836639439906652,0.2889026403427124,26376,1668,12,17
benign_80000,80000,glassbox_nam,interpretable_partial,0.886514541188969,0.8107567418686892,0.7241379310344828,0.8973755527028955,0.0072438771990341495,0.014344262295081968,0.028996843844652176,25166,2878,8,21
benign_80000,80000,transparent_lr,fully_auditable,0.732256945981438,0.666603342530703,0.4482758620689655,0.8849308229924404,0.004012345679012346,0.007953502600183543,0.5862008733683168,24817,3227,16,13
benign_80000,80000,transparent_tree,fully_auditable,0.7740865339687879,0.6628579965472976,0.3793103448275862,0.946405648267009,0.00726552179656539,0.014257939079714841,0.8474187272476801,26541,1503,18,11
benign_160000,160000,multitask_cnn,image_only_baseline,0.9238179904485071,0.8503589187434524,0.9310344827586207,0.7696833547282841,0.004162812210915819,0.008288564850345357,0.0007203940767794847,21585,6459,2,27
benign_160000,160000,hard_cbm,interpretable_partial,0.8710905031010383,0.8088662397513268,0.6896551724137931,0.9280773070888604,0.009818360333824251,0.01936108422071636,0.2036294937133789,26027,2017,9,20
benign_160000,160000,glassbox_nam,interpretable_partial,0.7879901779961539,0.6719342511029466,0.4482758620689655,0.8955926401369276,0.004420265215912955,0.008754208754208754,0.020360639318823814,25116,2928,16,13
benign_160000,160000,transparent_lr,fully_auditable,0.7379561182181695,0.7140675490239476,0.6206896551724138,0.8074454428754814,0.0033222591362126247,0.006609142647328804,0.5264518365517447,22644,5400,11,18
benign_160000,160000,transparent_tree,fully_auditable,0.7741154294483054,0.6628758256729572,0.3793103448275862,0.9464413065183284,0.007270323859881031,0.014267185473411154,0.846227171929784,26542,1502,18,11
benign_full,full,multitask_cnn,image_only_baseline,0.8351310010377782,0.7148145279093445,0.5172413793103449,0.9123876765083441,0.006067961165048544,0.011995201919232307,0.011083313263952732,25587,2457,14,15
benign_full,full,hard_cbm,interpretable_partial,0.6964277809747244,0.6439462126018719,0.6551724137931034,0.6327200114106404,0.0018412636883418936,0.0036722071897951295,0.1769598126411438,17744,10300,10,19
benign_full,full,glassbox_nam,interpretable_partial,0.8603887241231758,0.7317884703347941,0.5517241379310345,0.9118528027385537,0.006430868167202572,0.012713547874453715,0.017904167994856834,25572,2472,13,16
benign_full,full,transparent_lr,fully_auditable,0.7379561182181695,0.7140675490239476,0.6206896551724138,0.8074454428754814,0.0033222591362126247,0.006609142647328804,0.5264518365517447,22644,5400,11,18
benign_full,full,transparent_tree,fully_auditable,0.7741154294483054,0.6628758256729572,0.3793103448275862,0.9464413065183284,0.007270323859881031,0.014267185473411154,0.846227171929784,26542,1502,18,11
